Subject,Room,Kit_n,date,time,in_sum,out_sum,inout_sub,accum,occupany_sum
23_100,2320,8,2022-05-21,13:46:00,15,10,5,7,
23_100,2320,8,2022-05-21,21:26:00,13,12,1,7,
23_100,2320,8,2022-05-21,21:31:00,43,32,11,18,
23_101,2311,7,2022-05-26,14:07:00,15,9,6,-18,5
23_101,2311,7,2022-05-26,14:37:00,17,13,4,-15,4
23_103,2311,7,2022-06-07,19:11:00,10,11,-1,-24,
23_103,2311,7,2022-06-08,12:11:00,12,7,5,-18,5
23_103,2311,7,2022-06-13,20:16:00,26,36,-10,-19,
23_103,2311,7,2022-06-18,07:51:00,25,30,-5,-2,5
23_103,2311,7,2022-06-18,07:56:00,47,37,10,8,7
23_103,2311,7,2022-06-21,08:11:00,10,12,-2,-1,3
23_103,2311,7,2022-06-22,08:21:00,12,12,0,-8,3
23_106,2307,1,2022-06-10,13:10:00,12,11,1,0,5
23_106,2307,1,2022-06-17,10:55:00,11,7,4,-1,4
23_111,2310,7,2022-06-29,20:29:00,15,13,2,0,3
23_111,2310,7,2022-07-05,11:04:00,10,9,1,-18,2
23_118,2327,2,2022-07-19,09:05:00,17,8,9,35,2
23_118,2327,2,2022-07-19,09:10:00,14,11,3,38,2
